Version: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Suffix,Eat1,Eat2,Eat3,Gho1,Gho2,Had1,Htb1,Iagi,Iatt,Idef,Ihid,Iint,Isib,Istr,Isx1,Ncl1,Ncl3,Ncl4,Ncl5,Ncl6,Neg1,Neg2,Neg3,Neg4,Neg5,Neg6,Neu1,Neu3,Neu4,Nso1,Nso3,Owk1,Owk2,Owk3,Owk4,Ply1,Ply2,Ply3,Ply4,Ply5,Prg1,Prg3,Prg4,Prg5,Uls1,Uls2,Uls3,Uls4,Uls5,Ulsu,Usl1,aani,aare,aart,abpx,abpy,abuf,acap,acat,acdn,achd,adur,aeat,aefl,aefs,ahdu,aher,ahky,aite,alev,alsk,amat,amcs,amsp,anam,ansf,aord,aorf,aoro,arac,aran,arar,areq,aret,arhk,arlv,arpx,arpy,arqa,arut,asat,ata0,atar,atat,atp1,aub1,aubx,auby,bsk1,bsk2,bsk3,fak1,fak2,fak3,fak5
AP0A,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0A"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0B,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0B"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0C,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0C"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0D,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0D"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0E,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0E"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0F,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0F"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0G,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0G"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0H,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0H"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0I,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0I"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0J,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0J"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0K,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0K"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0L,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0L"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0M,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0M"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0N,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0N"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0O,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0O"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0P,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0P"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0Q,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0Q"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0R,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0R"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0S,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0S"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0T,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0T"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0U,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0U"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0V,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0V"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0W,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0W"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0X,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0X"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0Y,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0Y"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP0Z,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP0Z"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP10,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP10"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP11,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP11"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP12,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP12"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP13,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP13"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP14,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP14"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP15,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP15"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP16,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP16"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP17,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP17"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP18,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP18"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP19,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP19"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1A,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1A"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1B,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1B"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1C,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1C"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1D,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1D"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1E,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1E"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1F,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1F"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1G,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1G"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1H,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1H"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1I,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1I"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1J,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1J"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1K,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1K"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1L,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1L"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1M,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1M"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1N,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1N"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1O,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1O"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1P,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1P"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1Q,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1Q"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1R,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1R"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1S,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1S"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1T,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1T"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1U,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1U"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP1V,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP1V"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
