Version: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Suffix,Eat1,Eat2,Eat3,Gho1,Gho2,Had1,Htb1,Iagi,Iatt,Idef,Ihid,Iint,Isib,Istr,Isx1,Ncl1,Ncl3,Ncl4,Ncl5,Ncl6,Neg1,Neg2,Neg3,Neg4,Neg5,Neg6,Neu1,Neu3,Neu4,Nso1,Nso3,Owk1,Owk2,Owk3,Owk4,Ply1,Ply2,Ply3,Ply4,Ply5,Prg1,Prg3,Prg4,Prg5,Uls1,Uls2,Uls3,Uls4,Uls5,Ulsu,Usl1,[1],[2],[3],aani,aare,aart,abpx,abpy,abuf,acap,acat,acdn,achd,adur,aeat,aefl,aefs,ahdu,aher,ahky,aite,alev,alsk,amat,amcs,amsp,anam,ansf,aord,aorf,aoro,arac,aran,arar,areq,aret,arhk,arlv,arpx,arpy,arqa,arut,asat,ata0,atar,atat,atp1,aub1,aubx,auby,bsk1,bsk2,bsk3,fak1,fak2,fak3,fak5
AP0L,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0L""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0M,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0M""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0N,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0N""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0O,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0O""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0P,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0P""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0Q,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0Q""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0R,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0R""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0S,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0S""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0T,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0T""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0U,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0U""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0V,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0V""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0W,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0W""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0X,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0X""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0Y,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0Y""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0Z,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0Z""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP10,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP10""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP11,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP11""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP12,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP12""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP13,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP13""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP14,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP14""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP15,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP15""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP16,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP16""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP17,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP17""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP18,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP18""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP19,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP19""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1A,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1A""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1B,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1B""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1C,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1C""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1D,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1D""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1E,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1E""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1F,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1F""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1G,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1G""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1H,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1H""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1I,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1I""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1J,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1J""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1K,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1K""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1L,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1L""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1M,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1M""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1N,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1N""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1O,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1O""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1P,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1P""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1Q,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1Q""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1R,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1R""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1S,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1S""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1T,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1T""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1U,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1U""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1V,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1V""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1W,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1W""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1X,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1X""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1Y,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1Y""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP1Z,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP1Z""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP20,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP20""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP21,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP21""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP22,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP22""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
